source,id,price,area,rooms,floor,storeys,bathroom_count,new_building,F_Furniture,F_Security,F_Air Conditioner,F_Balcony,F_Heating System,F_Internet,F_Elevator,latitude,longitude,building_type_Monolit,building_type_Other,building_type_Panel,building_type_Stone,condition_Good Condition,condition_Needs Renovation/Repair,condition_New/Excellent Condition,condition_Other,coordinates,SL_opera,SL_malibu,SL_aua,SL_zvartnoc,SL_dalma,SL_yerevan_mall,SL_shumyan_cemetery,SL_nork_cemetery,SL_central_cemetery,SL_davtashen_cemetery,SL_zeytun_cemetery,SL_yerablur,SL_avan_cemetery,SL_baghramyan_subway,SL_shengavit_subway,SL_barekamutyun_subway,SL_yeritasardakan_subway,SL_zoravar_subway,SL_sasunci_subway,SL_gorcarain_subway,SL_gergin_subway,SL_charbakh_subway,SL_avan,SL_massiv,L_payment_terminal,L_pharmacy,L_atm,L_car_wash,L_waste_disposal,L_parking,L_bank,L_clinic,L_fuel,L_school,L_place_of_worship,L_music_school,L_university,L_kindergarten,L_bus_station,L_hospital,L_prison,L_stripclub
bnakaran,d117335,220000.0,100.0,3.0,11.0,16.0,2.0,1,0,0,1,0,1,0,0,44.512879,40.17787,1,0,0,0,0,1,0,0,"(40.17787, 44.512879)",923,711,1769,9963,2079,2711,5310,3325,3734,5884,4774,5437,6162,2696,4324,2606,1102,741,2632,4266,4000,5463,7469,4023,7,1,16,0,4,14,11,1,0,1,0,0,0,0,1,0,0,0
bnakaran,d117544,211500.0,94.0,3.0,5.0,5.0,3.0,0,0,0,0,0,0,0,0,44.517200469971,40.188400268555,0,0,0,1,1,0,0,0,"(40.188400268555, 44.517200469971)",321,982,1171,10697,2651,3934,5289,2560,4569,5154,3635,6289,5238,2218,5520,2108,333,1957,3853,5493,5155,6607,6502,5171,10,7,19,1,3,2,6,1,0,4,0,0,4,3,0,0,0,0
bnakaran,d117545,250000.0,47.0,2.0,6.0,5.0,1.0,0,0,0,0,0,0,0,0,44.517200469971,40.188400268555,0,0,0,1,1,0,0,0,"(40.188400268555, 44.517200469971)",321,982,1171,10697,2651,3934,5289,2560,4569,5154,3635,6289,5238,2218,5520,2108,333,1957,3853,5493,5155,6607,6502,5171,10,7,19,1,3,2,6,1,0,4,0,0,4,3,0,0,0,0
bnakaran,d117559,160000.0,83.0,3.0,4.0,7.0,2.0,1,0,0,1,0,0,0,0,44.563993,40.210592,0,1,0,0,1,0,0,0,"(40.210592, 44.563993)",4972,5656,5444,15327,7308,8170,9256,2458,6981,7514,1524,10966,688,6144,9869,6050,4624,6208,7878,9516,9629,11093,1825,8579,0,0,0,2,2,1,0,0,0,1,0,0,0,2,0,0,0,0
bnakaran,d117557,49500.0,45.0,2.0,11.0,11.0,1.0,0,0,0,0,0,1,0,0,44.507301330566,40.179298400879,0,0,1,0,1,0,0,0,"(40.179298400879, 44.507301330566)",996,422,1479,9558,1600,2719,4814,3675,4153,5512,4950,5068,6469,2302,4235,2221,1316,988,2745,4313,3846,5293,7759,4256,10,9,22,4,2,5,5,1,0,2,1,1,0,3,0,1,0,0
bnakaran,d117555,299000.0,130.0,4.0,4.0,10.0,2.0,1,0,0,0,0,0,0,0,44.512453847885,40.183097207282,1,0,0,0,1,0,0,0,"(40.183097207282, 44.512453847885)",392,379,1240,10110,2086,3243,5058,3110,4236,5374,4343,5649,5876,2233,4809,2135,720,1320,3200,4817,4441,5893,7160,4605,8,9,19,5,5,7,9,5,0,4,0,1,1,4,0,4,0,0
bnakaran,d117554,139000.0,52.0,2.0,3.0,16.0,1.0,1,0,0,1,0,1,0,0,44.503159,40.166203,1,0,0,0,0,1,0,0,"(40.166203, 44.503159)",2423,1918,2918,8860,1901,1222,5334,4742,3486,6710,6309,4277,7609,3541,2786,3486,2640,947,1333,2820,2484,3949,8931,2982,1,0,1,4,3,0,1,0,1,2,0,0,0,0,0,0,0,0
bnakaran,d117531,390000.0,156.0,3.0,13.0,16.0,1.0,1,0,0,1,0,0,0,0,44.512879,40.17787,1,0,0,0,1,0,0,0,"(40.17787, 44.512879)",923,711,1769,9963,2079,2711,5310,3325,3734,5884,4774,5437,6162,2696,4324,2606,1102,741,2632,4266,4000,5463,7469,4023,7,1,16,0,4,14,11,1,0,1,0,0,0,0,1,0,0,0
bnakaran,d113511,150000.0,40.0,1.0,8.0,11.0,1.0,0,0,1,0,0,0,0,0,44.508405122284,40.179167280744,0,1,0,0,1,0,0,0,"(40.179167280744, 44.508405122284)",948,434,1512,9643,1694,2726,4905,3596,4082,5570,4899,5146,6397,2362,4263,2279,1250,939,2733,4316,3886,5337,7690,4223,11,7,25,5,2,4,6,1,0,1,1,1,1,3,0,1,0,0
bnakaran,d117536,395000.0,113.0,3.0,4.0,13.0,2.0,1,0,0,0,0,0,0,0,44.513194017197,40.185145430804,1,0,0,0,1,0,0,0,"(40.185145430804, 44.513194017197)",187,499,1098,10248,2206,3479,5047,2978,4399,5224,4132,5813,5708,2127,5040,2024,580,1550,3434,5053,4664,6114,6983,4825,16,10,20,1,3,7,4,2,0,4,1,1,1,2,0,4,0,0
