,source,id,price,area,rooms,floor,storeys,building_type,condition,bathroom_count,new_building,F_Elevator,F_Furniture,F_Heating System,F_Security,F_Internet,F_Balcony,F_Air Conditioner,latitude,longitude
143,myrealty,141844,74000,50,1,5,5,Stone,Needs Renovation/Repair,1,0,0,0,0,0,0,1,0,44.49857435,40.209585149999995
144,myrealty,141829,115000,46,2,15,16,Panel,New/Excellent Condition,1,0,0,0,0,0,0,0,0,44.42128610507695,40.1879233237781
145,myrealty,141826,115000,89,2,16,16,Panel,Good Condition,1,0,0,0,1,0,0,0,0,44.42128610507695,40.1879233237781
146,myrealty,141821,295000,60,3,6,8,Monolit,New/Excellent Condition,1,1,0,0,0,0,0,0,0,44.517821617617976,40.177431841441944
147,myrealty,141812,276000,94,3,7,12,Panel,Good Condition,1,0,0,0,0,0,0,0,0,44.583870697678144,40.21673211791397
148,myrealty,141808,189000,84,4,11,14,Panel,New/Excellent Condition,1,0,0,0,0,0,0,0,0,44.519038948459674,40.17136765837956
149,myrealty,141806,215000,71,3,3,5,Other,New/Excellent Condition,1,0,0,0,0,0,0,0,0,44.499472776670245,40.180107053322125
150,myrealty,141805,239000,40,2,3,20,Monolit,New/Excellent Condition,1,1,0,0,0,0,0,0,0,44.51166722152143,40.182206184659805
151,myrealty,141804,370000,126,4,10,14,Monolit,New/Excellent Condition,3,1,0,0,0,0,0,0,0,44.49844424700246,40.19994302020931
152,myrealty,141785,410000,161,5,4,5,Stone,New/Excellent Condition,2,0,0,1,1,0,1,0,1,44.51808492499669,40.187096641397815
153,myrealty,141777,119000,71,3,5,14,Panel,Good Condition,1,0,0,0,1,0,1,0,0,44.499155086504345,40.19562050194883
154,myrealty,141769,459000,120,3,8,16,Monolit,New/Excellent Condition,2,1,1,1,1,0,1,0,1,44.499437857296144,40.19210576699806
155,myrealty,141763,145000,51,2,11,16,Monolit,Needs Renovation/Repair,1,1,1,0,0,1,0,0,0,44.493826561382456,40.140887872078665
156,myrealty,141715,210000,62,2,5,6,Monolit,New/Excellent Condition,1,1,1,0,1,0,1,0,0,44.50523170804844,40.19493042144863
157,myrealty,141705,87000,52,1,9,12,Other,New/Excellent Condition,1,0,0,0,1,0,0,1,0,44.48028805,40.20511795
158,myrealty,141682,144000,72,3,9,11,Panel,Good Condition,1,0,1,0,1,0,0,0,0,44.493826561382456,40.140887872078665
159,myrealty,141679,250000,100,3,15,17,Monolit,New/Excellent Condition,2,0,0,1,1,0,1,0,1,44.5902935,40.18955105
160,myrealty,141674,183000,76,2,2,14,Monolit,Needs Renovation/Repair,1,0,0,0,0,0,0,0,0,44.50164222859443,40.19625902492543
161,myrealty,141671,110000,36,1,11,14,Monolit,New/Excellent Condition,1,1,1,0,1,1,1,0,1,44.50409202665325,40.17429211194108
162,myrealty,141670,130000,75,3,5,5,Stone,Good Condition,1,0,0,0,0,0,0,1,0,44.4972968,40.20489739999999
163,myrealty,141669,121052,76,3,4,5,Stone,New/Excellent Condition,1,0,0,1,0,0,0,1,0,44.46234708546167,40.1906722427931
164,myrealty,141667,111756,75,3,7,9,Panel,Good Condition,1,0,1,0,1,0,0,1,0,44.49633619872418,40.22328636163789
165,myrealty,141666,78000,56,2,3,4,Stone,New/Excellent Condition,1,0,0,1,0,0,0,1,0,44.48028805,40.20511795
166,myrealty,141648,390000,112,3,2,6,Monolit,New/Excellent Condition,2,1,1,1,1,0,1,0,1,44.51046206679187,40.1942701013597
167,myrealty,141644,155000,64,2,7,10,Panel,Good Condition,1,0,0,0,0,0,0,0,0,44.51863665459219,40.17606564344017
168,myrealty,141642,140000,55,2,2,14,Monolit,New/Excellent Condition,1,1,0,0,0,0,0,0,0,44.50409202665325,40.17429211194108
169,myrealty,141639,125000,94,4,4,10,Panel,Good Condition,1,0,0,0,0,0,0,0,0,44.520763913503885,40.21468380779327
170,myrealty,141638,320000,187,4,5,5,Stone,Good Condition,2,0,0,0,0,0,0,0,0,44.51344849450384,40.1767382062846
171,myrealty,141625,250000,62,2,16,17,Monolit,Needs Renovation/Repair,1,1,1,0,0,1,0,0,0,44.499563346657254,40.184340543260134
172,myrealty,141564,125000,76,3,2,5,Stone,Good Condition,1,0,0,0,0,0,0,0,0,44.5197902,40.1991886
173,myrealty,141561,201000,153,5,1,6,Stone,New/Excellent Condition,3,0,0,0,0,0,0,0,0,44.52706263472466,40.205140244623664
174,myrealty,141545,215000,46,2,2,6,Monolit,New/Excellent Condition,1,1,1,1,1,1,1,0,1,44.51406057333508,40.190047324583134
175,myrealty,141535,228000,91,3,9,11,Monolit,New/Excellent Condition,1,1,1,1,1,0,1,0,1,44.527093186775616,40.209566023035784
176,myrealty,141494,225000,83,3,2,4,Monolit,New/Excellent Condition,2,1,0,0,1,0,1,0,1,44.50523170804844,40.19493042144863
177,myrealty,141484,190000,65,2,4,12,Monolit,New/Excellent Condition,1,1,1,1,1,0,1,0,1,44.47869465,40.21427165
178,myrealty,141481,155000,63,2,15,16,Monolit,New/Excellent Condition,1,1,1,1,1,0,1,0,1,44.51872985,40.204131149999995
179,myrealty,141469,163000,47,2,8,10,Panel,Good Condition,1,0,0,0,0,0,0,0,0,44.51181945133735,40.183313571671
180,myrealty,141462,215000,77,2,3,5,Stone,New/Excellent Condition,1,0,0,1,1,0,1,0,1,44.51240035,40.1775186
181,myrealty,141460,178000,89,3,11,13,Monolit,New/Excellent Condition,2,1,0,1,1,0,1,0,1,44.49844424700246,40.19994302020931
182,myrealty,141408,173000,80,3,3,5,Stone,New/Excellent Condition,1,0,0,0,0,0,0,0,0,44.499155086504345,40.19562050194883
183,myrealty,141407,230000,75,3,2,14,Monolit,New/Excellent Condition,1,1,1,1,1,0,1,0,1,44.50409202665325,40.17429211194108
