,source,id,price,area,rooms,floor,storeys,building_type,condition,bathroom_count,new_building,F_Furniture,F_Security,F_Air Conditioner,F_Balcony,F_Heating System,F_Internet,F_Elevator,latitude,longitude
387,bars,4-3-1337,200000,120.0,4.0,3.0,5.0,Stone,Good Condition,1.0,0,1,0,0,1,1,0,0,44.49857435,40.209585149999995
388,bars,1-S-53,850000,196.0,2.0,10.0,13.0,Other,Good Condition,3.0,0,0,0,0,1,1,0,1,44.434781436092,40.141653987919995
389,bars,1-A-102,350000,100.0,3.0,4.0,5.0,Other,Good Condition,2.0,0,1,0,0,1,1,0,1,44.51228432718437,40.19590302536037
390,bars,4-2-170,150000,70.0,2.0,10.0,15.0,Other,Needs Renovation/Repair,1.0,1,0,0,0,1,0,0,0,44.51413593557797,40.210664400899944
391,bars,1-2-972,250000,44.6,2.0,7.0,18.0,Other,Good Condition,1.0,0,1,0,1,1,1,0,1,44.51166722152143,40.182206184659805
392,bars,4-3-1327,180000,95.0,3.0,7.0,13.0,Other,Needs Renovation/Repair,2.0,1,0,0,0,1,1,0,0,44.5046635,40.21198605
393,bars,4-3-1334,185000,100.0,3.0,2.0,14.0,Other,Needs Renovation/Repair,2.0,1,0,0,0,1,0,0,1,44.5046635,40.21198605
394,bars,1-A-103,190000,93.0,3.0,5.0,6.0,Other,Needs Renovation/Repair,2.0,1,0,0,0,1,0,0,1,44.51228432718437,40.19590302536037
395,bars,1-3-2068,639000,213.0,6.0,4.0,5.0,Other,Needs Renovation/Repair,2.0,0,0,0,0,0,0,0,0,44.51808492499669,40.187096641397815
396,bars,6-Z3-194,324000,240.0,4.0,9.0,9.0,Other,Needs Renovation/Repair,3.0,0,0,1,0,1,0,0,1,44.54340269291652,40.19862324605405
397,bars,2-3-165,165000,106.0,3.0,2.0,15.0,Other,Good Condition,2.0,0,1,0,1,0,1,0,1,44.50409202665325,40.17429211194108
398,bars,3-Mal-47,205000,101.0,3.0,13.0,17.0,Other,Needs Renovation/Repair,2.0,1,0,0,1,0,1,0,1,44.5902935,40.18955105
399,bars,6-M2-212,90000,80.0,3.0,1.0,9.0,Stone,Good Condition,1.0,0,0,0,0,0,1,0,1,44.57111460185527,40.2061998983339
400,bars,4-3-1329,160000,90.0,3.0,4.0,14.0,Other,Needs Renovation/Repair,2.0,0,0,0,0,0,0,0,1,44.497928566324596,40.203858779099114
401,bars,4-3-1330,155000,80.0,3.0,5.0,14.0,Other,Needs Renovation/Repair,2.0,1,0,0,0,1,0,0,1,44.48257217096905,40.20346679579425
402,bars,1-A-83,360000,116.6,3.0,1.0,7.0,Other,Good Condition,2.0,0,1,1,1,1,1,0,1,44.50523170804844,40.19493042144863
