source,id,price,area,rooms,floor,storeys,bathroom_count,new_building,F_Furniture,F_Security,F_Air Conditioner,F_Balcony,F_Heating System,F_Internet,F_Elevator,latitude,longitude,building_type_Monolit,building_type_Other,building_type_Panel,building_type_Stone,condition_Good Condition,condition_Needs Renovation/Repair,condition_New/Excellent Condition,condition_Other,coordinates,opera,malibu,aua,zvartnoc,dalma,yerevan_mall,shumyan_cemetery,nork_cemetery,central_cemetery,davtashen_cemetery,zeytun_cemetery,yerablur,avan_cemetery,baghramyan_subway,shengavit_subway,barekamutyun_subway,yeritasardakan_subway,zoravar_subway,sasunci_subway,gorcarain_subway,gergin_subway,charbakh_subway,avan,massiv,L_payment_terminal,L_pharmacy,L_atm,L_car_wash,L_waste_disposal,L_parking,L_bank,L_clinic,L_fuel,L_school,L_place_of_worship,L_music_school,L_university,L_kindergarten,L_bus_station,L_hospital,L_prison,L_stripclub
myrealty,140776,105000.0,81.0,3.0,1.0,9.0,1.0,0,1,0,0,1,1,1,1,44.49082633472604,40.19822318396341,0,0,1,0,1,0,0,0,"(40.19822318396341, 44.49082633472604)",2468,2228,1325,9217,2135,4831,2938,4791,6670,3009,4961,5346,7019,273,5942,384,2806,3507,5044,6390,5374,6615,8122,6674,15,10,19,2,8,1,4,0,0,2,0,0,1,2,0,1,0,0
bars,1-3-46,195000.0,170.0,3.0,4.0,5.0,1.0,0,0,0,0,0,0,0,0,44.512115310889925,40.18645225816211,0,1,0,0,0,0,0,1,"(40.18645225816211, 44.512115310889925)",257,514,929,10215,2169,3591,4919,3029,4571,5053,4091,5807,5721,1965,5129,1861,660,1693,3566,5174,4736,6179,6984,4979,14,5,22,2,4,3,4,5,0,2,2,0,1,2,0,2,0,0
bnakaran,d117633,600000.0,200.0,4.0,4.0,16.0,2.0,1,0,1,0,0,0,0,0,44.516620071441,40.17792573882,1,0,0,0,1,0,0,0,"(40.17792573882, 44.516620071441)",907,929,1915,10270,2395,2855,5598,3050,3561,6049,4587,5734,5902,2894,4506,2798,962,836,2715,4372,4216,5681,7216,4007,7,8,14,2,7,7,10,1,0,1,0,0,0,1,1,0,0,0
bnakaran,d110850,450000.0,130.0,3.0,3.0,12.0,2.0,1,0,0,1,0,0,0,0,44.508127,40.184698,1,0,0,0,1,0,0,0,"(40.184698, 44.508127)",608,182,914,9829,1782,3321,4652,3405,4587,5026,4469,5416,6111,1852,4811,1757,1012,1537,3347,4917,4396,5828,7375,4832,4,7,11,4,5,8,6,6,1,3,2,0,2,2,0,4,0,0
myrealty,140668,349999.99999999994,142.0,3.0,5.0,7.0,2.0,0,1,0,1,0,1,1,1,44.51227294254827,40.19201414395731,0,0,0,1,0,0,1,0,"(40.19201414395731, 44.51227294254827)",710,1060,665,10473,2480,4192,4807,2933,5110,4576,3669,6160,5454,1674,5698,1563,913,2312,4182,5781,5278,6704,6674,5593,1,0,3,0,0,2,0,0,0,1,0,0,1,2,0,0,0,0
myrealty,127811,296000.0,132.0,4.0,3.0,5.0,2.0,0,0,0,0,0,0,0,0,44.51406057333508,40.190047324583134,0,0,0,1,0,0,1,0,"(40.190047324583134, 44.51406057333508)",458,932,857,10522,2492,4021,4992,2796,4847,4841,3695,6160,5398,1899,5561,1788,653,2099,3984,5600,5164,6602,6641,5364,8,4,12,0,2,1,6,1,0,1,0,0,2,3,0,0,0,0
myrealty,142690,180000.0,110.0,3.0,14.0,18.0,1.0,1,0,0,0,0,0,0,0,44.4567380668362,40.166016462777485,1,0,0,0,0,1,0,0,"(40.166016462777485, 44.4567380668362)",5432,4749,5006,5016,3062,3900,3565,8210,7184,6583,9187,776,10945,4685,3409,4733,5816,4745,4468,4516,2810,3054,12196,5856,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0
bnakaran,d116798,123600.0,103.0,3.0,3.0,5.0,2.0,0,0,0,0,0,0,0,0,44.502899169922,40.177200317383,0,0,0,1,1,0,0,0,"(40.177200317383, 44.502899169922)",1424,782,1698,9131,1244,2432,4594,4112,4239,5562,5374,4630,6910,2359,3871,2294,1756,1030,2538,4033,3451,4888,8199,4129,6,10,11,0,0,6,3,1,0,2,2,0,0,1,0,0,0,0
myrealty,136392,159000.0,56.0,2.0,3.0,12.0,1.0,1,1,1,1,0,1,1,1,44.52733885,40.20019725,1,0,0,0,0,0,1,0,"(40.20019725, 44.52733885)",1890,2516,2126,12020,4050,5478,6043,1845,5579,4976,2102,7730,3948,2869,7086,2767,1678,3470,5351,7011,6724,8174,5128,6530,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0
bnakaran,d109151,549000.0,121.0,4.0,5.0,5.0,2.0,0,0,0,0,0,0,0,0,44.515646,40.18919,0,0,0,1,0,0,1,0,"(40.18919, 44.515646)",357,942,1016,10608,2567,3971,5142,2675,4703,5001,3663,6222,5317,2061,5535,1951,489,2019,3912,5541,5154,6600,6571,5262,10,5,16,1,2,1,5,1,0,2,0,0,2,3,0,0,0,0
myrealty,139056,550000.0,201.0,4.0,16.0,16.0,2.0,1,0,1,0,0,0,0,1,44.4972968,40.20489739999999,1,0,0,0,0,1,0,0,"(40.20489739999999, 44.4972968)",2588,2592,1513,10091,2965,5510,3569,4413,6976,2661,4236,6269,6372,902,6740,905,2827,3952,5654,7098,6197,7482,7406,7222,3,5,3,2,2,0,1,1,0,2,0,1,0,0,0,1,0,0
